,Address,Price,Stats,Link
88,"4517 ARROWHEAD RD, Richmond, VA 23235","        $680,000      "," 3 Beds 4 Baths 3,000 Sq Ft ",https://www.remax.com//va/richmond/home-details/4517-arrowhead-rd-richmond-va-23235/12342289019551932809/M00000643/2302145
89,"2221 PARKWOOD AVE, Richmond, VA 23220","        $439,000      "," 3 Beds 2 Baths 2,056 Sq Ft ",https://www.remax.com//va/richmond/home-details/2221-parkwood-ave-richmond-va-23220/15785986264218872797/M00000643/2302354
90,"1647 W GRACE ST, Richmond, VA 23220","        $650,000      "," — Beds — Baths 3,500 Sq Ft ",https://www.remax.com//va/richmond/home-details/1647-w-grace-st-richmond-va-23220/11147993540170264859/M00000643/2302647
91,"1905 N 28TH ST, Richmond, VA 23223","        $224,950      "," 3 Beds 2 Baths 1,008 Sq Ft ",https://www.remax.com//va/richmond/home-details/1905-n-28th-st-richmond-va-23223/16106265307666228300/M00000643/2302658
92,"2605 SEMINARY AVE, Richmond, VA 23220","        $649,000      "," 4 Beds 4 Baths 2,331 Sq Ft ",https://www.remax.com//va/richmond/home-details/2605-seminary-ave-richmond-va-23220/2260866197600521810/M00000643/2302908
93,"1508 WILLIAMSBURG RD, Richmond, VA 23231","        $279,950      "," 3 Beds 3 Baths 1,520 Sq Ft ",https://www.remax.com//va/richmond/home-details/1508-williamsburg-rd-richmond-va-23231/8315280010898036865/M00000643/2303148
94,"804 GOODWOOD CT, Richmond, VA 23225","        $225,000      "," 3 Beds 2 Baths 1,023 Sq Ft ",https://www.remax.com//va/richmond/home-details/804-goodwood-ct-richmond-va-23225/14554855004929248183/M00000643/2303265
95,"511 BANCROFT AVE, Richmond, VA 23222","        $210,000      "," 3 Beds 4 Baths 1,460 Sq Ft ",https://www.remax.com//va/richmond/home-details/511-bancroft-ave-richmond-va-23222/25608079826686467/M00000643/2303339
96,"1 W MAIN ST, Richmond, VA 23220","        $1,999,000      "," 6 Beds 7 Baths 10,265 Sq Ft ",https://www.remax.com//va/richmond/home-details/1-w-main-st-richmond-va-23220/4195730601834038727/M00000643/2303349
97,"5 & 7 W MAIN STREET, Richmond, VA 23220","        $550,000      ",   0.12  Acres,https://www.remax.com//va/richmond/home-details/5-7-w-main-street-richmond-va-23220/2325261527804425213/M00000643/2303352
98,"3406 MIKE RD, Richmond, VA 23234","        $240,000      "," 3 Beds 2 Baths 1,115 Sq Ft ",https://www.remax.com//va/richmond/home-details/3406-mike-rd-richmond-va-23234/10633257212826545329/M00000643/2303359
99,"1532 N LOMBARDY ST # A, Richmond, VA 23220","        $410,590      "," 3 Beds 3 Baths 1,574 Sq Ft ",https://www.remax.com//va/richmond/home-details/1532-n-lombardy-st-a-richmond-va-23220/3010847300497925734/M00000643/2303361
100,"2918 3RD AVE, Richmond, VA 23222","        $499,000      "," — Beds — Baths 3,680 Sq Ft ",https://www.remax.com//va/richmond/home-details/2918-3rd-ave-richmond-va-23222/14426493004778607734/M00000643/2303407
101,"3016 2ND AVE, Richmond, VA 23222","        $330,000      "," 3 Beds 3 Baths 1,680 Sq Ft ",https://www.remax.com//va/richmond/home-details/3016-2nd-ave-richmond-va-23222/8248056714774808231/M00000643/2303439
102,"2706 SCARSBOROUGH DR, Richmond, VA 23235","        $398,500      "," 4 Beds 3 Baths 2,162 Sq Ft ",https://www.remax.com//va/richmond/home-details/2706-scarsborough-dr-richmond-va-23235/39538954949086458/M00000643/2303469
103,"1322 N 34TH ST, Richmond, VA 23223","        $334,950      "," 2 Beds 3 Baths 1,456 Sq Ft ",https://www.remax.com//va/richmond/home-details/1322-n-34th-st-richmond-va-23223/16111908375258601738/M00000643/2303505
104,"1519 GROVE AVE, Richmond, VA 23220","        $850,000      "," 3 Beds 4 Baths 2,776 Sq Ft ",https://www.remax.com//va/richmond/home-details/1519-grove-ave-richmond-va-23220/3131346609701513372/M00000643/2301012
105,"2104 5TH AVE, Richmond, VA 23222","        $199,950      "," 2 Beds 1 Baths 1,147 Sq Ft ",https://www.remax.com//va/richmond/home-details/2104-5th-ave-richmond-va-23222/6072121198858715369/M00000643/2303058
106,"2210 CARNEAL ST, Richmond, VA 23223","        $159,950      "," 3 Beds 1 Baths 1,066 Sq Ft ",https://www.remax.com//va/richmond/home-details/2210-carneal-st-richmond-va-23223/1663803183720496894/M00000643/2303330
107,"3216 DETROIT AVE, Richmond, VA 23222","        $50,000      ",   0.09  Acres,https://www.remax.com//va/richmond/home-details/3216-detroit-ave-richmond-va-23222/12543858105759532340/M00000643/2303347
108,"111 WINBER DR, Richmond, VA 23224","        $275,000      "," 4 Beds 2 Baths 1,552 Sq Ft ",https://www.remax.com//va/richmond/home-details/111-winber-dr-richmond-va-23224/2844446608271271983/M00000643/2303367
109,"1414 W MARSHALL ST # U507, Richmond, VA 23220","        $230,000      ", 2 Beds 2 Baths 796 Sq Ft ,https://www.remax.com//va/richmond/home-details/1414-w-marshall-st-u507-richmond-va-23220/11173442854250245304/M00000643/2303391
110,"5701 BROMLEY LN, Richmond, VA 23226","        $479,000      "," 3 Beds 2 Baths 1,435 Sq Ft ",https://www.remax.com//va/richmond/home-details/5701-bromley-ln-richmond-va-23226/1422871111677369048/M00000643/2303114
111,"2501 1/2 BERWYN ST, Richmond, VA 23234","        $274,560      "," 3 Beds 2 Baths 1,410 Sq Ft ",https://www.remax.com//va/richmond/home-details/2501-12-berwyn-st-richmond-va-23234/5023083401161726690/M00000643/2303247
112,"3510 E RICHMOND RD # U15, Richmond, VA 23223","        $110,000      ", 2 Beds 1 Baths 822 Sq Ft ,https://www.remax.com//va/richmond/home-details/3510-e-richmond-rd-u15-richmond-va-23223/14924803828429282209/M00000643/2301881
113,"3510 E RICHMOND RD # U25, Richmond, VA 23223","        $85,000      ", 1 Beds 1 Baths 560 Sq Ft ,https://www.remax.com//va/richmond/home-details/3510-e-richmond-rd-u25-richmond-va-23223/16152895107080574604/M00000643/2301932
114,"3510 E RICHMOND RD # U29, Richmond, VA 23223","        $85,000      ", 1 Beds 1 Baths 560 Sq Ft ,https://www.remax.com//va/richmond/home-details/3510-e-richmond-rd-u29-richmond-va-23223/1921461531982180520/M00000643/2301939
115,"2116 5TH AVE, Richmond, VA 23222","        $265,000      "," 2 Beds 2 Baths 1,132 Sq Ft ",https://www.remax.com//va/richmond/home-details/2116-5th-ave-richmond-va-23222/1743101125684667564/M00000643/2302806
116,"7420 SETTLERS RIDGE CT, Richmond, VA 23231","        $325,000      "," 2 Beds 2 Baths 1,406 Sq Ft ",https://www.remax.com//va/richmond/home-details/7420-settlers-ridge-ct-richmond-va-23231/16032482506727564048/M00000643/2303184
117,"810 RATCLIFFE AVE, Henrico, VA 23222","        $255,000      "," 3 Beds 2 Baths 2,194 Sq Ft ",https://www.remax.com//va/richmond/home-details/810-ratcliffe-ave-richmond-va-23222/1862639259805790480/M00000643/2303188
118,"3517 BRIEL ST # U9, Richmond, VA 23223","        $90,000      ", 1 Beds 1 Baths 686 Sq Ft ,https://www.remax.com//va/richmond/home-details/3517-briel-st-u9-richmond-va-23223/6409192319025283813/M00000643/2303194
119,"3517 BRIEL ST # U18, Richmond, VA 23223","        $110,000      ", 2 Beds 1 Baths 822 Sq Ft ,https://www.remax.com//va/richmond/home-details/3517-briel-st-u18-richmond-va-23223/13208738964032573765/M00000643/2303195
120,"3530 E RICHMOND RD # U14, Richmond, VA 23223","        $105,000      ", 2 Beds 1 Baths 780 Sq Ft ,https://www.remax.com//va/richmond/home-details/3530-e-richmond-rd-u14-richmond-va-23223/10791755965151516110/M00000643/2303196
